spec_id,deposit_timing,month,reason,count
CO-0454,beginning,202506,free_cash_insufficient,3
CO-0454,beginning,202507,free_cash_insufficient,15
CO-0454,beginning,202508,free_cash_insufficient,1
CO-0454,ending,202402,nav_multiple_gate,12
CO-0454,ending,202403,nav_multiple_gate,19
CO-0454,ending,202404,nav_multiple_gate,10
CO-0454,ending,202405,nav_multiple_gate,18
CO-0454,ending,202407,nav_multiple_gate,11
CO-0454,ending,202408,free_cash_insufficient,2
CO-0454,ending,202409,free_cash_insufficient,5
CO-0454,ending,202410,limit_price,1
CO-0455,beginning,202402,nav_multiple_gate,12
CO-0455,beginning,202403,nav_multiple_gate,19
CO-0455,beginning,202404,nav_multiple_gate,10
CO-0455,beginning,202405,nav_multiple_gate,18
CO-0455,beginning,202407,nav_multiple_gate,11
CO-0455,beginning,202408,free_cash_insufficient,2
CO-0455,beginning,202409,free_cash_insufficient,5
CO-0455,beginning,202410,limit_price,1
CO-0455,beginning,202410,free_cash_insufficient,12
CO-0455,beginning,202412,free_cash_insufficient,8
CO-0455,beginning,202502,free_cash_insufficient,15
CO-0455,beginning,202503,free_cash_insufficient,1
CO-0455,beginning,202505,free_cash_insufficient,17
CO-0455,beginning,202506,free_cash_insufficient,3
CO-0455,beginning,202507,free_cash_insufficient,15
CO-0455,beginning,202508,free_cash_insufficient,1
CO-0455,ending,202402,nav_multiple_gate,12
CO-0455,ending,202403,nav_multiple_gate,19
CO-0455,ending,202404,nav_multiple_gate,10
CO-0455,ending,202405,nav_multiple_gate,18
CO-0455,ending,202407,nav_multiple_gate,11
CO-0455,ending,202408,free_cash_insufficient,2
CO-0455,ending,202409,free_cash_insufficient,5
CO-0455,ending,202410,limit_price,1
CO-0456,beginning,202402,nav_multiple_gate,12
CO-0456,beginning,202403,nav_multiple_gate,19
CO-0456,beginning,202404,nav_multiple_gate,10
CO-0456,beginning,202405,nav_multiple_gate,18
CO-0456,beginning,202407,nav_multiple_gate,11
CO-0456,beginning,202408,nav_multiple_gate,2
CO-0456,beginning,202409,nav_multiple_gate,5
CO-0456,beginning,202410,limit_price,1
CO-0456,ending,202402,nav_multiple_gate,12
CO-0456,ending,202403,nav_multiple_gate,19
CO-0456,ending,202404,nav_multiple_gate,10
CO-0456,ending,202405,nav_multiple_gate,18
CO-0456,ending,202407,nav_multiple_gate,11
CO-0456,ending,202408,nav_multiple_gate,2
CO-0456,ending,202409,nav_multiple_gate,5
CO-0456,ending,202410,limit_price,1
CO-0457,beginning,202402,nav_multiple_gate,12
CO-0457,beginning,202403,nav_multiple_gate,19
CO-0457,beginning,202404,nav_multiple_gate,10
CO-0457,beginning,202405,nav_multiple_gate,18
CO-0457,beginning,202407,nav_multiple_gate,11
CO-0457,beginning,202408,nav_multiple_gate,2
CO-0457,beginning,202409,nav_multiple_gate,5
CO-0457,beginning,202410,limit_price,1
CO-0457,ending,202402,nav_multiple_gate,12
CO-0457,ending,202403,nav_multiple_gate,19
CO-0457,ending,202404,nav_multiple_gate,10
CO-0457,ending,202405,nav_multiple_gate,18
CO-0457,ending,202407,nav_multiple_gate,11
CO-0457,ending,202408,nav_multiple_gate,2
CO-0457,ending,202409,nav_multiple_gate,5
CO-0457,ending,202410,limit_price,1
CO-0458,beginning,202402,nav_multiple_gate,12
CO-0458,beginning,202403,nav_multiple_gate,19
CO-0458,beginning,202404,nav_multiple_gate,10
CO-0458,beginning,202405,nav_multiple_gate,18
CO-0458,beginning,202407,nav_multiple_gate,11
CO-0458,beginning,202408,nav_multiple_gate,2
CO-0458,beginning,202409,nav_multiple_gate,5
CO-0458,beginning,202410,limit_price,1
CO-0458,ending,202402,nav_multiple_gate,12
CO-0458,ending,202403,nav_multiple_gate,19
CO-0458,ending,202404,nav_multiple_gate,10
